charge,carge carrier, charge distribution, charge polarization, charging by induction, conduction, conductor, conservation of charge, coulomb, coulomb's law, electric force, electric interaction, elementary charge, grounding, insulator, ion, negative charge, neutral, positive charge
page	head	15430	19250	19256	11978	sent
10		0	0	0	1	Even when charged subatomic particles, such as electrons and protons, are created or destroyed-a process that can be observed in high-energy particle accelerators-charge is conserved.
10		1	2	2	1	For example, when an electron (charge - e ) collides with a subatomic particle called the positron (charge +e ), both particles are destroyed, leaving nothing but a flash of highly energetic radiation (Figure 22.18a).
10		1	1	0	0	The charge of the electron-positron system before the collision is (- e) + (+e) = 0, and it is still zero after the collision.
10		2	1	1	1	Likewise, in a process called beta decay, when a free neutron (carrying zero charge and made up of two down quarks and one up quark) decays into a proton (charge +e, one down and two up quarks), an electron (charge - e), and a neutral subatomic particle called the antineutrino (zero charge), the charge of the system comprising the neutron and the particles into which it decays remains zero (Figure 22.18b and Section 7.6).
10	HT	1	0	3	0	22.12  When two objects made of the same material are rubbed together, friction occurs but neither material acquires surplus charge.
10	SM	0	0	0	0	Why?
10	H1	0	1	0	0	22.4 Charge polarization
10	P	1	0	0	0	Let us now reexamine the interaction between a charged object and a neutral one.
10		1	0	0	0	Figure 22.19 shows the interaction between a charged rubber rod and an uncharged electroscope.
10		1	0	0	0	With the rod far away (Figure 22.19a), the leaves of the electroscope hang straight down.
10		1	0	0	0	When the rod is brought near the ball of the electroscope (Figure 22.19b), the leaves separate even without any contact between the rod and the electroscope.
10		1	0	0	0	As the distance between the rod and the electroscope is increased again, the leaves drop down, showing that no charge has been transferred from the rod to the electroscope.
10	FIG	0	0	1	0	Figure 22.17 How strips of tape can acquire opposite charges when pulled apart.
10	FIG	2	0	0	1	Figure 22.18 Because charge is conserved, the charge of a closed system does not change even when particles are created or destroyed.
11	P	1	0	0	1	Why do the leaves separate even though the electroscope remains neutral?
11		1	0	0	1	They separate because the negative charge on the rod repels the free electrons in the metallic parts of the electroscope: The free electrons are pushed as far away as possible from the rod (Figure 22.19c) and pile up in the leaves.
11		1	1	0	1	This redistribution of charge is nearly instantaneous.
11		0	1	0	0	The top of the electroscope thus ends up with a deficit of electrons-a positive charge-and the leaves end up with a surplus of electrons-a negative charge.
11		0	1	0	0	The negative charge on the leaves is responsible for the repulsion between them.
11		0	0	0	0	When the rod is removed, the electrons, being repelled by one another and attracted to the positive charge on the electroscope ball, immediately flow back to their normal positions, evening out the distribution of positive and negative charge.
11	HT	0	1	0	0	22.13 (a) In Figure 22.19b, is the electroscope as a whole positively charged, negatively charged, or neutral?
11	SM	0	1	0	0	(b) How does the magnitude of the positive charge on the electroscope ball compare with the magnitude of the negative charge on the leaves?
11	SM	0	1	0	0	(c) Is the force exerted by the rod on the electroscope ball attractive or repulsive?
11	SM	0	1	0	0	Is the force exerted by the rod on the leaves attractive or repulsive?
11	SM	0	1	0	0	(d) How do you expect the magnitude of the force the rod exerts on the ball to compare with the magnitude of the force the rod exerts on the leaves?
11	P DF	2	0	2	0	Any separation of charge carriers in an object is called charge polarization, or simply polarization, and an object in which charge polarization occurs is said to be polarized.
11		2	3	0	0	The electroscope of Figure 22.19b, for instance, is polarized by the nearby charged rod.
11		2	3	0	0	In any object in which charge is polarized, there are two charged poles, one positive and the other negative.
11		1	0	0	0	In the electroscope of Figure 22.19b, the positive pole is at the ball and the negative pole is in the foil strips.
11	P	1	0	0	1	In metals, the polarization induced by the presence of a nearby charged object is very great because the free electrons in the metal move easily in response to the presence of the charged object.
11		2	0	0	1	Even in electrical insulators, however, where there are no free electrons moving about, a nearby charged object induces some polarization.
11		2	1	0	2	The basic reason for the polarization of insulators is illustrated in Figure 22.20: In the presence of an external charge, the center of the electron cloud and the nucleus of an atom shift away from each other, causing the atom to become polarized.
11		1	2	0	0	So, when a negatively charged comb is brought near a small piece of paper, each atom in the paper becomes polarized-the electron clouds are pushed away from the comb, and the nuclei are pulled toward the comb.
11		1	1	0	0	If we consider the paper as consisting of two overlapping parts that have the same shape but carry opposite charges, the positively charged part is pulled a bit toward the comb and the negatively charged part is pushed away, as shown in Figure 22.21a on the next page.
11		0	1	0	1	This leaves the central part of the paper neutral but creates a sliver of surplus positive charge on the side facing the comb and an equal amount of surplus negative charge on the opposite side, and so the paper is polarized.
11	HT	1	1	3	0	22.14  In an atom, what limits the separation between the electron cloud and the nucleus in the presence of an external charge?
11	SM	1	2	3	0	Why, for example, isn't the electron cloud in Figure 22.20b pulled all the way to the location of the external positive charge?
11	P	1	1	3	0	The polarization of atoms is responsible for the attraction between charged and neutral objects.
11		1	1	4	0	In Figure 22.21, for example, the positively charged side of the paper is closer to the comb than the negatively charged side.
11		0	0	4	0	Because the electric force decreases with increasing distance, the magnitude of the attractive force exerted on the positive side is greater than the magnitude of the repulsive force exerted on the negatively charged side (Figure 22.21b).
11		0	0	2	0	Consequently, the vector sum of the electric forces exerted by the comb on the neutral piece of paper points toward the comb and the paper is pulled toward the comb.
11	FIG	0	1	0	0	Figure 22.19 In (a) and (b), a charged rod induces polarization in an electroscope.
11	FIG	0	1	0	0	(c) A schematic atom-level view.
11	FIG	0	2	0	0	Figure 22.20 Polarization of a neutral atom.
12	HT	1	0	1	0	22.15 (a) When a positively charged object is brought near a neutral piece of paper, is the vector sum of the forces exerted by the charged object on the paper attractive or repulsive?
12	SM	0	0	1	0	(b) Describe what would happen when a negatively charged comb is brought near an electroscope if protons, not electrons, were mobile in metals.
12	SM	0	0	1	0	(c) Can you deduce from the experiment illustrated in Figure 22.19 which charge carriers-electrons or protons-are mobile in metals?
12	P	3	1	1	0	Figure 22.22 illustrates how you can exploit polarization to charge neutral conducting objects.
12		3	2	1	0	A negatively charged rod brought near a metal sphere induces polarization in the sphere.
12		3	2	2	1	To get as far away as possible from the negative charge on the rod, the electrons in the metal of the sphere move to the right surface.
12		4	1	2	3	Thus the surface of the sphere nearer the rod becomes the positive pole, and the surface farther from the rod becomes the negative pole.
12		4	1	1	3	When you touch the metal, the electrons can move into your body, thereby getting even farther away from the negative charge on the rod.
12		3	3	2	2	In essence, you have become the negative pole, while the sphere is the positive pole.
12		3	3	2	1	If you remove your hand from the sphere, the sphere is left with a deficit of electrons (they stayed inside you!)
12		2	1	1	0	and so carries a positive charge- it has become charged without ever touching a charged object.
12		3	4	3	1	(Likewise, you now have a surplus of negative charge and carry a negative charge, which is spread so thin that it is hardly noticeable.)
12	DF	3	4	1	1	This process is called charging by  induction.
12	FIG	0	1	0	1	Figure 22.21 Polarization of a neutral insulator (bits of paper) by a charged comb.
12	FIG	0	1	0	1	In (a), a single bit of paper is modeled as two offset sheets with opposite charges.
12	FIG	5	5	1	2	Figure 22.22 Polarization can be exploited to charge neutral conducting objects.
14	H1	0	0	0	0	22.5 Coulomb's law
14	P	2	0	0	0	Quantitative experiments with electrical charge are difficult to carry out because objects lose their charge and because charge carriers on objects tend to rearrange themselves in the presence of other charged objects.
14		3	1	1	0	In the 18th century, however, the English clergyman and scientist Joseph Priestley carried out a remarkable experiment: He charged a hollow sphere and showed that no electric force was exerted on a small piece of charged cork placed inside the sphere.
14		2	2	0	1	Remembering that Newton had proven that no gravitational force exists inside a hollow sphere (see the box "Zero gravitational force inside a spherical shell" and Figure 22.24, below) because the gravitational force decreases with the square of distance, Priestley proposed that the electric force, too, decreases as <equation>.
14	BR	1	0	0	0	Zero gravitational force inside a spherical shell
14	P	1	0	2	1	A consequence of the inverse-square dependence on distance of the gravitational force is that a uniform spherical shell exerts no force at all on a mass placed anywhere inside it.
14		1	0	1	0	This result is very important in electrostatics because it provides a strong test of the law describing the electric force between charged objects.
14	P	2	0	0	1	Consider the uniform spherical shell in Figure 22.24a.
14		2	0	0	0	A particle of mass m is placed off-center inside the shell.
14		2	0	0	0	To determine the force exerted by the shell on the particle, consider first the force exerted by region 1, defined as a very small region of the shell surface.
14		2	0	0	0	Let the mass of this region be m1 and its distance from the particle be d1, which means the magnitude of the gravitational force exerted by this region on the particle is <equation>.
14		2	0	0	0	Extending the cone defined by the particle and region 1 to the opposite side of the shell gives us a small region 2, of mass m2 and at distance d2 from the particle.
14		1	0	0	0	The magnitude of the gravitational force exerted by this region on the particle is <equation>.
14		1	0	0	0	If the particle is closer to region 1 than to region 2, the area of region 2 must be greater than the area of region 1 (because of how we defined region 2 as being an extension of the cone formed by region 1 and the particle), which means region 2 contains more mass: <equation>.
14	P	1	0	0	0	Because the mass of the shell is distributed uniformly over the shell, the mass of each of our two regions is proportional to its area: <equation>.
14		2	0	0	0	Because they are marked out by similar cones, the areas of the two regions are proportional to the squares of the distances to the particle: <equation>, which means that <equation>.
14		2	0	0	0	Rearranging terms, we get <equation> regardless of the position of the particle, and so we see that the forces cancel: The two regions exert forces of equal magnitude in opposite directions on the particle (Figure 22.24b).
14		1	0	0	0	We can now apply the same arguments to other pairs of small regions on either side of the particle, each yielding equal and opposite forces on the particle (Figure 22.24c).
14		1	1	0	0	The vector sum of all the forces exerted on the particle by all the small regions making up the spherical shell is thus zero.
14	P	1	1	0	0	In 1785, Charles Coulomb, a French physicist, provided direct evidence for an inverse-square law by measuring how the electric force between two charged spheres changes as the distance between the spheres changes.
14		1	0	0	2	The basic apparatus for Coulomb's experiment is shown in Figure 22.25.
14		1	0	0	1	A small dumbbell is suspended from a long fiber.
15		1	0	0	0	When spheres A and B are charged, the electric force between them twists the fiber.
15		0	1	0	1	The amount of twist is a measure of the magnitude of the force between the two spheres (see also Section 15.7).
15		0	0	0	1	A similar arrangement was used a few years later by Cavendish to study gravitational interactions (see Section 13.5).
15	P	0	0	0	1	Coulomb also devised a method for systematically varying the "quantity of charge" <var> on a metal sphere.
15		1	1	1	0	He found that when a charged metal sphere is brought into contact with an identical uncharged metal sphere, the final charge is the same on each sphere-both exert a force of equal magnitude on a third charged object.
15		1	1	1	1	In other words, each sphere gets half the original charge.
15		0	2	1	1	By sharing charge among several identical metal spheres, Coulomb could produce spheres whose charge was one-half, one-quarter, one-eighth, and so on of the original charge (Figure 22.26).
15	P DF	1	1	2	1	By thus varying the charges on spheres <var> and <var> of his apparatus, Coulomb found that the electric force is proportional to the charge on each sphere.
15	DF	1	2	3	0	We can summarize these findings in one equation, called Coulomb's law, which gives the magnitude of the electric force exerted by two charged particles separated by a distance <var> and carrying charges <var> and <var>:  
15	EQ	1	2	3	0	<equation>
15		1	1	1	3	As we shall see in Chapter 27, the interaction between charged particles becomes more complicated when the particles are not at rest.
15		1	1	1	0	For this reason the force in Coulomb's law is sometimes called the electrostatic force and the branch of physics that deals with stationary distributions of charge is called electrostatics.
15	P	0	0	1	0	If the positions of the two charged particles are given by the vectors <var> and <var>, respectively, then the distance between them is <equation>.
15		0	0	1	0	The value of the constant of proportionality <var> depends on the units used for charge, force, and length.
15		0	1	2	0	The absolute-value signs around the charges in Eq. 22.1 are necessary because <var> and <var> can be negative but the magnitude <var> of the electric force must always be positive.
15	P	0	1	3	1	Coulomb's law bears a striking resemblance to Newton's law of gravity (Eq.13.1):  
15	EQ	0	1	3	1	<equation>
15		0	0	2	1	Why these two laws have the same mathematical form remains a mystery.
15		0	0	2	0	The main differences between the two are that mass is always positive but electrical charge can be positive or negative, which means that the gravitational force is always attractive but the electric force can be attractive or repulsive.
15	FIG	0	0	0	0	Figure 22.25 Schematic diagram of  Coulomb's apparatus for measuring the electric force be-tween two charged spheres.
15	FIG	1	0	0	2	Figure 22.26 By successively allowing a charged sphere to touch an initially uncharged neighbor, we can distribute an amount of charge in ever-lessening amounts over a number of spheres.
15	P	1	1	1	1	The derived <var> unit of charge, called the coulomb (<var>), is defined as the quantity of electrical charge transported in 1 s by a current of 1 ampere, a quantity and unit we shall define in Chapter 27.
15		1	1	1	0	One coulomb is equal to the magnitude of the charge on about <value> electrons.
15		0	1	1	0	Conversely, the magnitude of the charge of the electron is 
15		0	1	1	0	<value>
15		0	1	1	0	The charge on any object comes in only whole-number multiples of this elementary charge: 
15	EQ	1	3	3	1	<equation>
15		0	0	0	0	This means that an object can have charge <equation>, and so forth, but not, for instance, <var>.
16		0	0	1	0	Because the elementary charge is very small, the fact that charge exists only as whole-number multiples of the elementary charge isn't noticeable under ordinary circumstances.
16		0	0	1	0	For example, running a comb through your hair easily gives the comb a surplus of about <value> electrons, and the quantity of electrons flowing through a 100-W light bulb each second is about <value> .
16		0	0	0	0	These are such large numbers that the fact that charge comes in only whole-number multiples of the elementary charge normally remains unnoticed.
16	P	0	2	0	1	Using the coulomb as the unit of charge, we can determine the value of <var> in Eq. 22.1 experimentally by measuring the force between two known charged particles separated by a known distance: 
16		0	2	0	1	<value>
16		1	3	1	0	The value of this constant shows how large a unit the coulomb is: Two particles, each carrying a charge of 1 C, separated by 1 m exert on each other a force of 9 billion newtons-equal to the gravitational force exerted by Earth on several dozen loaded supertankers!
16		1	1	1	0	It is very difficult to build up a charge of this magnitude on all but very large objects because things get ripped apart by the enormous forces.
16		2	3	4	0	The largest accumulations of charge we know of occur in the atmosphere: Large clouds that accumulate a charge of about 50 C discharge through the air to Earth, causing lightning.
16	EX	0	0	1	0	Example 22.2 Gravity versus electricity
16	SM	0	0	0	0	Compare the magnitudes of the gravitational and electric forces exerted by the nucleus of a hydrogen atom - a single proton <value> - on an electron <value> when the two are <value> apart.
16	H3	0	0	1	0	1) GettinG started
16	SM	0	0	1	0	For simplicity, I assume I can treat the proton and electron as particles.
16	SM	0	0	1	0	I also assume they are at rest so that I can use the principles of electrostatics.
16	H3	0	0	0	0	2) devise plan
16	SM	0	0	1	0	I can use Eq. 22.2 to calculate the magnitude of the gravitational force and Eq. 22.1 to calculate the magnitude of the electric force.
16	H3	0	0	0	0	3) execute plan
16	SM	0	0	0	0	<equation>
16	SM	0	0	2	1	The electric force exerted by the proton on the electron is <value> times greater than the gravitational force exerted by the proton on the electron. <CHECK>
16	H3	0	0	1	0	4) evaluate result 
16	SM	0	0	1	0	The difference in magnitudes is in agreement with the information given in Table 7.1.
16	EX	0	0	0	0	Example 22.3 Comb electricity
16	SM	0	0	0	0	(a) A <value> kg plastic comb acquires a charge of about <value> C when passed through your hair.
16	SM	0	0	0	0	What is the magnitude of the electric force between two such combs held <value> m apart after being passed through your hair?
16	SM	0	0	0	0	(b) If two identical <value> kg combs carry one surplus electron for every <value> electrons in the combs, what is the magnitude of the electric force between these combs held <value> m apart?
16	H3	0	0	0	0	1) GettinG started
16	SM	0	0	0	0	Both parts of the problem require me to calculate the magnitude of the electric force between the combs.
16	SM	0	0	0	0	If I treat the combs as particles, I can use Eq. 22.1 to calculate this force.
16	H3	0	0	0	0	2) devise plan
16	SM	0	0	0	0	To calculate the magnitude of the electric force between two charged objects, I need to know the charge on each object and their separation distance.
16	SM	0	0	0	0	I know these data for part a: <value> and <value> m, where the subscripts 1 and 2 denote the two combs.
17	SM	0	0	0	0	For part b I am given only the separation distance, and so I need to determine the charge on each comb.
17	SM	0	0	0	0	I am given the fraction of electrons added, and I know the charge on one electron.
17	SM	0	0	0	0	So, to determine the charge on each comb, I need to determine how many electrons each comb contains.
17	SM	2	1	0	1	The number of electrons in each comb is equal to the number of protons in the comb: <equation>.
17	SM	0	0	0	0	I am given the mass of the comb and I know that the mass is determined by the protons and neutrons in all the atoms making up the comb (the electrons contribute very little).
17	SM	0	0	0	0	Given that the protons and neutrons have almost identical mass <value>, I can determine the number <var> of protons and neutrons by dividing the mass of the comb by <var>.
17	SM	0	0	0	0	Given that most atoms contain roughly equal numbers of protons and neutrons, I can say that the number of protons is <equation>.
17	H3	0	0	0	0	3) execute plan
17	SM	0	0	0	0	(a) Substituting the values given into Eq. 22.1, I get
17	SM	0	0	0	0	<equation>
17	SM	0	0	0	0	<CHECK>
17	SM	0	0	0	0	(b) The number of protons plus neutrons in the comb is
17	SM	0	0	0	0	<equation>
17	SM	0	0	0	0	and so <equation>.
17	SM	0	0	0	1	The number of electrons is equal to the number of protons, and so there are <value> electrons in each comb to begin with.
17	SM	0	0	0	1	Adding one surplus electron for every <value> electrons means adding <value> electrons to each comb; these electrons carry a combined charge of <value>.
17	SM	0	0	0	1	The magnitude of the repulsive electric force between the combs is then
17	SM	0	0	0	0	<equation>
17	SM	0	0	0	0	<CHECK>
17	H3	0	0	0	0	4) evaluate reSult 
17	SM	0	0	0	0	My answer to part a is a force too small to be felt, which is what I expect based on experience (two combs passed through hair don't exert an appreciable force on each other).
17	SM	0	0	0	0	In contrast, my answer to part b is phenomenally large for an electric force.
17	SM	0	0	0	0	The magnitude of the initial acceleration acquired by the combs would be <equation> or about five times the acceleration due to gravity!
17	SM	0	0	0	0	Even though the fraction of electrons removed - one in 100 billion - is very small, the factor <var> in Eq. 22.1 is so great that the resulting force is also great.
17	SM	0	0	0	0	Indeed, I learned in Table 7.1 that the electromagnetic interaction is 36 orders of magnitude stronger than the gravitational interaction, so my answer is not unreasonable.
17	HT	2	1	0	1	Two identical conducting spheres, one carrying charge carrying charge <var>, are initially held a distance <var> apart.
17	SM	1	3	0	1	The spheres are allowed to touch briefly and then returned to separation distance <var>. 
17	SM	1	3	0	1	Is the magnitude of the force they exert on each other after the touching greater than, smaller than, or the same as the magnitude of the force they exerted on each other before the touching?
17	P	1	1	0	0	Like the gravitational force, the electric force is central; that is, its line of action is along the line connecting the two interacting charged particles.
17		1	0	0	0	Consider, for example, the two particles carrying charges <var> and <var> shown in Figure 22.27a.
17		1	0	0	0	The vector <equation> gives the position of particle 2 relative to particle 1; this vector points from particle 1 to particle 2.
17		2	1	0	0	We can define a unit vector pointing in this direction by dividing the vector <var> by its magnitude:
17		2	1	0	0	<equation>
17	FIG	0	1	0	0	Figure 22.27 (a) Position vectors for two charged particles. (b) Repulsive forces exerted on each other by two particles carrying like charges. (c) Attractive forces exerted on each other by two particles carrying opposite charges.
17	P	0	0	0	0	Depending on the algebraic sign of the charges, the electric force can be attractive or repulsive.
17		0	0	0	0	For like charges (<equation>), the force is repulsive.
17		0	1	0	0	In this case, the force <var> exerted by particle 1 on particle 2 points in the same direction as the unit vector <var> (Figure 22.27b).
17		0	1	0	0	For opposite charges the force is attractive, and so <var> points in the direction opposite the direction  of <var> (Figure 22.27c).
17		0	1	0	0	In either case, <var> can be written in the form  
17		0	1	0	0	<equation>
18		0	0	0	0	Because <equation> and because <var> points in the direction opposite the direction of <var>, the force <var> exerted by particle 2 on particle 1, which points in the direction opposite the direction of <var>, is obtained by simply switching the indices 1 and 2 in Eq. 22.7:
18	EQ	0	0	0	0	<equation>
18		0	0	0	0	as we would expect for an interaction pair (see Eq. 8.15).
18		0	0	0	0	Equation 22.7 is the vectorial form of Eq. 22.1.
18	HT	1	0	0	1	22.17 Using your knowledge about work and potential energy, determine whether the potential energy of a closed system of two charged particles carrying like charge increases, decreases, or stays the same when the distance between the two is increased.
18	SM	1	0	0	1	Repeat for two particles carrying opposite charge.
18	P	0	0	0	0	Before going on, I should mention a limitation to Coulomb's law.
18		1	2	0	2	Strictly speaking, it is applicable only to charged particles.
18		2	3	1	2	This is so because the distance <var> is well defined only when the size of the charged objects is negligibly small compared with their separation distance.
18		1	2	2	1	When the charged objects are not particles, the distance <var> is not equal to the center-to-center distance.
18		1	2	2	0	You can see why with the help of Figure 22.28.
18		0	2	2	0	In Figure 22.28a, the charge is distributed uniformly over the surface of each of two widely separated metal spheres.
18	DF	0	1	3	0	The way in which a collection of charge carriers is spread out over a macroscopic object is called a charge distribution.
18		0	1	3	0	Because the charge distributions over the metal spheres in Figure 22.28a are uniform, the center of each charge distribution coincides with the center of the sphere, and so <var> is well defined.
18		0	2	4	0	When we bring the spheres close together, as in Figure 22.28b, the like charge carriers repel one another and move to the far side of each sphere.
18		0	2	4	0	Now the centers of the charge distributions no longer coincide with the spheres' centers, so <var> (the center-to-center distance of the two charge distributions) is not simply the distance separating the centers of the two conductors.
18	HT	0	0	0	0	22.18 (a) Is the magnitude of the electric force between the two conducting spheres in Figure 22.28b greater or smaller than that obtained from Coulomb's law, which assumes the charge is concentrated at the center of each sphere?
18	SM	1	0	0	0	(b) Is the answer to part a the same if the charge on one of the conductors is negative instead of positive?
18	H1	0	0	0	1	22.6 Forces exerted by distributions of charge carriers
18	FIG	1	1	0	2	Figure 22.28 The reason Coulomb's law does not apply in a strict sense to macroscopic charged objects. The law is approximately correct if the objects are far apart relative to their radii.
18	P	0	0	0	0	Coulomb's law deals only with pairs of charged objects.
18		0	1	1	1	To calculate the force exerted by an assembly of objects carrying charges <var> on an object 1 carrying a charge q1, we take the vector sum of all the forces exerted on object 1 by each of the other charged objects independently:
18	EQ	0	1	1	1	<equation>
18		0	1	1	1	where each term is given by Coulomb's law:
18	EQ	0	1	1	1	<equation>
18		0	1	1	1	In other words, we calculate the force exerted by object 2 on object 1, then calculate the force exerted by object 3 on object 1, and so forth, and then add the forces.
18		0	0	1	1	This means that if we know the details of some distribution of charged objects, we can calculate the force exerted by this distribution of charged objects on a single charged particle.
19		1	1	0	0	For distributions that contain large numbers of charged objects, the summation can be accomplished via an integration.
19		1	1	0	0	We will limit our discussion here to simple cases involving only a few charged objects.
19	HT	0	0	0	1	22.19  Figure 22.29 shows how a charged particle 1 interacts with two other charged particles 2 and 3.
19	SM	0	0	0	1	Determine the direction of the vector sum of the electric forces exerted on particle 2.
19	P	0	3	2	1	The basic limitation of Coulomb's law continues to apply when we are analyzing collections of charged objects: Eq. 22.10 is valid only for charged particles, not for charged extended bodies.
19		0	3	2	1	Suppose, for example, that we replace each charged particle in Figure 22.29 by a conducting sphere carrying the same charge as each particle.
19		0	3	2	0	Let us first consider just the interaction between spheres 1 and 2.
19		0	3	2	1	When these oppositely charged spheres are placed near each other, the charge carriers on the two spheres rearrange themselves to be as close as possible to each other ( Figure 22.30a).
19		1	2	2	1	A similar type of rearrangement takes place when just spheres 1 and 3 are placed near each other (Figure 22.30b).
19		1	3	1	2	When all three spheres are placed near one another, the positive charge on sphere 3 pushes the positive charge on sphere 2 up and pulls the negative charge on sphere 1 down (Figure 22.30c).
19		1	3	1	2	Consequently, the forces that the spheres exert on one another are not the same as the forces exerted by the individual pairs (compare the forces in Figures 22.29 and 22.30).Figure 22.30
19	EX	0	0	1	0	Example 22.4 Electric tug of war
19	SM	0	0	1	0	You are given three charged particles.
19	SM	0	0	1	0	Particles 1 and 2 carry charge <var> and particle 3 carries charge <var>.
19	SM	0	0	1	0	(a) Determine the relative values of the separation distances <var> and <var> when the three particles are arranged along a straight line in such a way that the vector sum of the forces exerted on particle 1 is zero.
19	SM	0	0	1	0	(b) With the particles arranged this way, are the vector sums of the forces exerted on particles 2 and 3 also zero?
19	H3	0	0	0	0	1) GettinG Started
19	SM	0	0	1	0	Particle 2 exerts a repulsive force on particle 1; particle 3 exerts an attractive force on particle 1.
19	SM	0	0	1	0	In order for the two forces exerted on particle 1 to cancel, particles 2 and 3 must be on the same side of particle 1.
19	SM	0	0	1	0	Because the magnitude of the charge on particle 2 is smaller than that of the charge on particle 3, the distance <var> must be shorter than the distance <var>
19	H3	0	0	0	0	2) deviSe plan
19	SM	0	0	1	0	I choose my x axis vertically up along the line defined by the particles (Figure 22.31a).
19	SM	0	0	1	0	To determine the relative values of the separation distances <var> and <var> when the vector sum of the forces exerted on particle 1 is zero, I draw a freebody diagram for particle 1 (Figure 22.31b).
19	SM	0	0	1	0	The magnitude of each force exerted on this particle is given by Eq. 22.1, and so by setting the sum of the <var> components of the forces equal to zero, I have an expression containing <var> and <var> and I can manipulate the expression to get the relative values of <var> and <var>.
19	FIG	0	1	0	1	Figure 22.29  Forces exerted by two charged particles 2 and 3 on charged particle 1.
